,uid,pairid,lalco,ldep,llife,lcrim,ralco,rdep,rlife,rcrim,secElasped,chosen,order,alcodiff,depdiff,lifediff,crimdiff,gender,age,numberOfChildren,employment,maritalStatus,ethnicity,political,religion,religiousness,econStatus,pairid
3000,4,random,0,0,2,1,0,0,3,1,49,0,0,0,0,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3001,4,random,0,1,3,1,4,2,1,2,42,0,1,-4,-1,2,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3002,4,random,0,1,2,1,0,1,1,1,35,0,2,0,0,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3003,4,random,4,1,1,2,2,0,3,2,3,1,3,2,1,-2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3004,4,random,0,1,2,0,4,2,2,0,2,0,4,-4,-1,0,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3005,4,random,0,2,3,0,0,2,3,1,4,1,5,0,0,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3006,4,hard1,0,0,2,2,2,2,2,0,2,0,6,-2,-2,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,hard1
3007,4,random,2,0,1,2,0,2,2,0,2,0,7,2,-2,-1,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3008,4,random,0,1,2,2,0,0,1,2,2,1,8,0,1,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3009,4,random,4,1,3,0,4,2,3,2,2,0,9,0,-1,0,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3010,4,random,2,0,1,1,4,2,1,0,3,0,10,-2,-2,0,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3011,4,random,2,2,3,1,4,0,2,2,70,1,11,-2,2,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3012,4,random,4,0,3,2,2,0,1,0,3,1,12,2,0,2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3013,4,random,0,2,3,1,2,1,2,2,2,0,13,-2,1,1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3014,4,random,4,2,3,2,4,1,1,0,3,0,14,0,1,2,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3015,4,random,0,0,3,1,2,0,2,1,57,0,15,-2,0,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3016,4,random,0,2,2,2,2,2,3,1,21,1,16,-2,0,-1,1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3017,4,random,4,2,2,0,2,0,1,2,67,1,17,2,2,1,-2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3018,4,random,0,1,1,2,4,2,2,2,3,0,18,-4,-1,-1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3019,4,random,0,1,1,0,2,0,3,0,2,1,19,-2,1,-2,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3020,4,random,2,1,3,1,2,1,2,1,4,0,20,0,0,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3021,4,random,4,0,3,0,4,2,3,1,3,1,21,0,-2,0,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3022,4,random,4,2,3,2,4,1,3,0,2,0,22,0,1,0,2,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3023,4,random,2,0,1,1,2,1,2,2,2,1,23,0,-1,-1,-1,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
3024,4,random,2,0,2,2,4,2,1,2,2,0,24,-2,-2,1,0,Female,18-24 years old,0,Student,Never been married,Hispanic/Latino,Somewhat conservative,Christian/Catholic,Very religious,61,random
